time,LT,HTR,WM,FR,DW 
1303006329,0,1,0,133,2
1303006346,0,1,0,135,2
1303006369,0,1,0,132,2
1303006386,0,1,0,126,2
1303006403,0,1,0,125,2
1303006426,0,1,0,122,2
1303006443,0,1,0,121,2
1303006461,0,1,0,118,2
1303006484,0,1,0,119,2
1303006501,0,1,0,119,2
1303006519,0,1,0,117,2
1303006541,0,1,0,117,2
1303006558,0,1,0,119,2
1303006576,0,1,0,117,2
1303006593,0,1,0,117,2
1303006617,0,1,0,117,2
1303006634,0,1,0,117,2
1303006651,0,1,0,117,2
1303006673,0,1,0,118,2
1303006691,0,1,0,117,2
1303006708,0,1,0,117,2
1303006731,0,1,0,115,2
1303006748,0,1,0,117,2
1303006765,0,1,0,116,2
1303006788,0,1,0,115,2
1303006806,0,1,0,115,2
1303006823,0,1,0,115,2
1303006845,0,1,0,115,2
1303006862,0,1,0,115,2
1303006881,0,1,0,115,2
1303006904,0,1,0,114,2
1303006921,0,1,0,115,2
1303006938,0,1,0,0,2
1303006960,0,1,0,0,2
1303006977,0,1,0,0,2
1303006995,0,1,0,0,2
1303007012,0,1,0,0,2
1303007035,0,1,0,1,2
1303007052,0,1,0,0,2
1303007069,0,1,0,0,2
1303007092,0,1,0,0,2
1303007109,0,1,0,0,2
1303007126,0,1,0,0,2
1303007149,0,1,0,0,2
1303007166,0,1,0,0,2
1303007183,0,1,0,0,2
1303007205,0,1,0,0,2
1303007222,0,1,0,0,2
1303007240,0,1,0,0,2
1303007262,0,1,0,0,2
1303007279,0,1,0,0,2
1303007296,0,1,0,0,2
1303007314,0,1,0,1,2
1303007337,0,1,0,0,2
1303007354,0,1,0,0,2
1303007371,0,1,0,0,2
1303007394,0,1,0,0,2
1303007411,0,1,0,0,2
1303007428,0,1,0,0,2
1303007450,0,1,0,0,2
1303007467,0,1,0,1,2
1303007484,0,1,0,1,2
1303007507,0,1,0,0,2
1303007524,0,1,0,0,2
1303007541,0,1,0,0,2
1303007564,0,1,0,0,2
1303007581,0,1,0,0,2
1303007598,0,1,0,0,2
1303007621,0,1,0,0,2
1303007638,0,1,0,0,2
1303007655,0,1,0,0,2
1303007672,0,1,0,1,2
1303007695,0,1,0,0,2
1303007712,0,1,0,0,2
1303007729,0,1,0,0,2
1303007752,0,1,0,0,2
1303007769,0,1,0,0,2
1303007787,0,1,0,0,2
1303007809,0,1,0,1,2
1303007826,0,1,0,1,2
1303007843,0,1,0,0,2
1303007866,0,1,0,0,2
1303007883,0,1,0,0,2
1303007900,0,1,0,1,2
1303007923,0,1,0,0,2
1303007940,0,1,0,0,2
1303007958,0,1,0,0,2
1303007974,0,1,0,1,2
1303045720,0,1,10,0,2
1303045737,0,1,10,1,2
1303045754,0,1,10,0,2
1303045837,0,1,10,1,2
1303045854,0,0,10,1,2
1303045877,0,1,10,1,2
1303045893,0,1,10,1,2
1303045911,0,1,10,0,2
1303045933,0,1,10,0,2
1303045950,0,1,10,0,2
1303045967,0,0,10,1,2
1303045990,0,1,10,0,2
1303046007,0,1,10,1,2
1303046024,0,0,10,0,2
1303046047,0,1,10,1,2
1303046064,0,1,10,1,2
1303046081,0,1,10,1,2
1303046098,0,1,10,0,2
1303046120,0,1,10,0,2
1303046138,0,1,10,0,2
1303046154,0,1,10,1,2
1303046177,0,1,10,1,2
1303046193,0,0,10,1,2
1303046210,0,1,10,1,2
1303046233,0,1,10,0,2
1303046250,0,1,10,1,2
1303046267,0,1,10,1,2
1303046289,0,1,10,0,2
1303046306,0,1,10,0,2
1303046323,0,1,10,0,2
1303046340,0,1,10,1,2
1303046363,0,1,10,1,2
1303046380,0,1,10,134,2
1303046397,0,1,10,134,2
1303046421,0,1,10,133,2
1303046438,0,1,10,127,2
1303046455,0,0,10,124,2
1303046481,0,1,10,125,2
1303046498,0,1,10,122,2
1303046514,0,1,10,119,2
1303046537,0,1,10,120,2
1303046555,0,1,10,118,2
1303046573,0,1,10,119,2
1303046595,0,25,10,120,2
1303046612,0,27,10,119,2
1303046630,0,28,10,118,2
1303046654,0,28,10,117,2
1303046671,0,28,10,118,2
1303046690,0,28,10,117,2
1303046713,0,27,10,118,2
1303046731,0,27,10,117,2
1303046749,0,27,10,117,2
1303046773,0,26,10,117,2
1303046790,0,26,10,117,2
1303046809,0,26,10,116,2
1303046832,0,26,10,118,2
1303046850,0,26,10,118,2
1303046868,0,26,10,117,2
1303046892,0,26,10,115,2
1303046909,0,25,10,117,2
1303046928,0,25,10,117,2
1303046951,0,25,10,115,2
1303046969,0,25,10,117,2
1303046987,0,25,10,115,2
1303047011,0,25,10,116,2
1303047028,0,25,10,115,2
1303047047,0,25,10,116,2
1303047070,0,24,10,115,2
1303047088,0,24,10,0,2
1303047106,0,24,10,1,2
1303047129,0,24,10,0,2
1303047146,0,24,10,1,2
1303047164,0,24,10,0,2
1303047186,0,24,10,0,2
1303047203,0,47,10,1,2
1303047220,0,48,10,1,2
1303047238,0,50,10,1,2
1303047260,0,51,10,0,2
1303047277,0,51,10,1,2
1303047294,0,51,10,1,2
1303047317,0,51,10,1,2
1303047334,0,51,10,0,2
1303047351,0,51,10,0,2
1303047373,0,51,10,1,2
1303047391,0,51,10,1,2
1303047407,0,51,10,0,2
1303047430,0,51,10,1,2
1303047448,0,50,10,1,2
1303047465,0,51,10,1,2
1303047487,0,51,10,1,2
1303047504,0,50,10,1,2
1303047522,0,50,10,1,2
1303047539,0,50,10,1,2
1303047562,0,50,10,0,2
1303047579,0,50,10,1,2
1303047596,0,50,10,1,2
1303047619,0,50,10,1,2
1303047636,0,50,10,1,2
1303047653,0,50,10,0,2
1303047676,0,50,10,1,2
1303047693,0,50,10,0,2
1303047711,0,50,10,0,2
1303047734,0,50,10,1,2
1303047751,0,50,10,0,2
1303047768,0,49,10,0,2
1303047791,0,49,10,0,2
1303047808,0,49,10,1,2
1303047826,0,49,10,0,2
1303047848,0,49,10,1,2
1303047865,0,49,10,0,2
1303048184,0,48,10,0,2
1303048202,0,48,10,0,2
1303048218,0,48,10,1,2
1303048241,0,48,10,1,2
1303048257,0,48,10,1,2
1303048274,0,48,10,1,2
1303048296,0,49,10,0,2
1303048314,0,48,10,0,2
1303048331,0,48,10,0,2
1303048354,0,48,10,0,2
1303048371,0,48,10,0,2
1303048388,0,24,10,0,2
1303048410,0,24,62,0,2
1303048427,0,24,66,0,2
1303048444,0,24,69,1,2
1303048461,0,24,71,0,2
1303048483,0,24,71,0,2
1303048500,23,24,70,1,126
1303048518,24,24,67,2,363
1303048540,27,24,69,1,125
1303048557,27,24,69,1,124
1303048575,27,24,68,1,124
1303048597,26,24,69,3,2
1303048614,27,24,68,2,2
1303048631,26,24,68,2,2
1303048653,26,24,67,2,2
1303048672,26,24,66,2,2
1303048691,26,24,66,2,2
1303048714,25,24,65,2,2
1303048732,25,24,64,3,2
1303048750,25,24,64,2,2
1303048774,24,24,64,2,2
1303048791,24,24,64,2,2
1303048809,24,23,63,1,2
1303048832,25,23,65,2,0
1303048849,25,23,65,2,0
1303048866,25,23,65,133,0
1303048888,24,23,65,135,0
1303048906,24,23,65,129,0
1303048923,25,23,65,127,0
1303048940,24,23,66,122,0
1303048962,24,48,66,121,0
1303048979,24,24,66,122,0
1303048996,24,24,66,119,0
1303049019,24,23,66,121,0
1303049036,23,24,64,120,2
